"Index","Chr_N","Chr_arm","Chr_band","Start","End"
708,17,2,"q21.1",39800000,40200000
709,17,2,"q21.2",40200000,42800000
710,17,2,"q21.31",42800000,46800000
711,17,2,"q21.32",46800000,49300000
712,17,2,"q21.33",49300000,52100000
713,17,2,"q22",52100000,59500000
714,17,2,"q23.1",59500000,60200000
715,17,2,"q23.2",60200000,63100000
716,17,2,"q23.3",63100000,64600000
717,17,2,"q24.1",64600000,66200000
718,17,2,"q24.2",66200000,69100000
719,17,2,"q24.3",69100000,72900000
720,17,2,"q25.1",72900000,76800000
721,17,2,"q25.2",76800000,77200000
722,17,2,"q25.3",77200000,83257441
723,18,1,"p11.32",0,2900000
724,18,1,"p11.31",2900000,7200000
725,18,1,"p11.23",7200000,8500000
726,18,1,"p11.22",8500000,10900000
727,18,1,"p11.21",10900000,15400000
728,18,1,"p11.1",15400000,18500000
729,18,2,"q11.1",18500000,21500000
730,18,2,"q11.2",21500000,27500000
731,18,2,"q12.1",27500000,35100000
732,18,2,"q12.2",35100000,39500000
733,18,2,"q12.3",39500000,45900000
734,18,2,"q21.1",45900000,50700000
735,18,2,"q21.2",50700000,56200000
736,18,2,"q21.31",56200000,58600000
737,18,2,"q21.32",58600000,61300000
738,18,2,"q21.33",61300000,63900000
739,18,2,"q22.1",63900000,69100000
740,18,2,"q22.2",69100000,71000000
741,18,2,"q22.3",71000000,75400000
742,18,2,"q23",75400000,80373285
743,19,1,"p13.3",0,6900000
744,19,1,"p13.2",6900000,12600000
745,19,1,"p13.13",12600000,13800000
746,19,1,"p13.12",13800000,16100000
747,19,1,"p13.11",16100000,19900000
748,19,1,"p12",19900000,24200000
749,19,1,"p11",24200000,26200000
750,19,2,"q11",26200000,28100000
751,19,2,"q12",28100000,31900000
752,19,2,"q13.11",31900000,35100000
753,19,2,"q13.12",35100000,37800000
754,19,2,"q13.13",37800000,38200000
755,19,2,"q13.2",38200000,42900000
756,19,2,"q13.31",42900000,44700000
757,19,2,"q13.32",44700000,47500000
758,19,2,"q13.33",47500000,50900000
759,19,2,"q13.41",50900000,53100000
760,19,2,"q13.42",53100000,55800000
761,19,2,"q13.43",55800000,58617616
762,20,1,"p13",0,5100000
763,20,1,"p12.3",5100000,9200000
764,20,1,"p12.2",9200000,12000000
765,20,1,"p12.1",12000000,17900000
766,20,1,"p11.23",17900000,21300000
767,20,1,"p11.22",21300000,22300000
768,20,1,"p11.21",22300000,25700000
769,20,1,"p11.1",25700000,28100000
770,20,2,"q11.1",28100000,30400000
771,20,2,"q11.21",30400000,33500000
772,20,2,"q11.22",33500000,35800000
773,20,2,"q11.23",35800000,39000000
774,20,2,"q12",39000000,43100000
775,20,2,"q13.11",43100000,43500000
776,20,2,"q13.12",43500000,47800000
777,20,2,"q13.13",47800000,51200000
778,20,2,"q13.2",51200000,56400000
779,20,2,"q13.31",56400000,57800000
780,20,2,"q13.32",57800000,59700000
781,20,2,"q13.33",59700000,64444167
782,21,1,"p13",0,3100000
783,21,1,"p12",3100000,7000000
784,21,1,"p11.2",7000000,10900000
785,21,1,"p11.1",10900000,12000000
786,21,2,"q11.1",12000000,13000000
787,21,2,"q11.2",13000000,15000000
788,21,2,"q21.1",15000000,22600000
789,21,2,"q21.2",22600000,25500000
790,21,2,"q21.3",25500000,30200000
791,21,2,"q22.11",30200000,34400000
792,21,2,"q22.12",34400000,36400000
793,21,2,"q22.13",36400000,38300000
794,21,2,"q22.2",38300000,41200000
795,21,2,"q22.3",41200000,46709983
796,22,1,"p13",0,4300000
797,22,1,"p12",4300000,9400000
798,22,1,"p11.2",9400000,13700000
799,22,1,"p11.1",13700000,15000000
800,22,2,"q11.1",15000000,17400000
801,22,2,"q11.21",17400000,21700000
802,22,2,"q11.22",21700000,23100000
803,22,2,"q11.23",23100000,25500000
804,22,2,"q12.1",25500000,29200000
805,22,2,"q12.2",29200000,31800000
806,22,2,"q12.3",31800000,37200000
807,22,2,"q13.1",37200000,40600000
808,22,2,"q13.2",40600000,43800000
809,22,2,"q13.31",43800000,48100000
810,22,2,"q13.32",48100000,49100000
811,22,2,"q13.33",49100000,50818468
812,23,1,"p22.33",0,4400000
813,23,1,"p22.32",4400000,6100000
814,23,1,"p22.31",6100000,9600000
815,23,1,"p22.2",9600000,17400000
816,23,1,"p22.13",17400000,19200000
817,23,1,"p22.12",19200000,21900000
818,23,1,"p22.11",21900000,24900000
819,23,1,"p21.3",24900000,29300000
820,23,1,"p21.2",29300000,31500000
821,23,1,"p21.1",31500000,37800000
822,23,1,"p11.4",37800000,42500000
823,23,1,"p11.3",42500000,47600000
824,23,1,"p11.23",47600000,50100000
825,23,1,"p11.22",50100000,54800000
826,23,1,"p11.21",54800000,58100000
827,23,1,"p11.1",58100000,61000000
828,23,2,"q11.1",61000000,63800000
829,23,2,"q11.2",63800000,65400000
830,23,2,"q12",65400000,68500000
831,23,2,"q13.1",68500000,73000000
832,23,2,"q13.2",73000000,74700000
833,23,2,"q13.3",74700000,76800000
834,23,2,"q21.1",76800000,85400000
835,23,2,"q21.2",85400000,87000000
836,23,2,"q21.31",87000000,92700000
837,23,2,"q21.32",92700000,94300000
838,23,2,"q21.33",94300000,99100000
839,23,2,"q22.1",99100000,103300000
840,23,2,"q22.2",103300000,104500000
841,23,2,"q22.3",104500000,109400000
842,23,2,"q23",109400000,117400000
843,23,2,"q24",117400000,121800000
844,23,2,"q25",121800000,129500000
845,23,2,"q26.1",129500000,131300000
846,23,2,"q26.2",131300000,134500000
847,23,2,"q26.3",134500000,138900000
848,23,2,"q27.1",138900000,141200000
849,23,2,"q27.2",141200000,143000000
850,23,2,"q27.3",143000000,148000000
851,23,2,"q28",148000000,156040895
852,24,1,"p11.32",0,300000
853,24,1,"p11.31",300000,600000
854,24,1,"p11.2",600000,10300000
855,24,1,"p11.1",10300000,10400000
856,24,2,"q11.1",10400000,10600000
857,24,2,"q11.21",10600000,12400000
858,24,2,"q11.221",12400000,17100000
859,24,2,"q11.222",17100000,19600000
860,24,2,"q11.223",19600000,23800000
861,24,2,"q11.23",23800000,26600000
862,24,2,"q12",26600000,57227415
